city,condition,local_time,source_url,scraped_at,temperature_f,temperature_c,country
Accra,Mostly cloudy. Warm.,Fri 3:47 am,https://www.timeanddate.com/weather/ghana/accra,2026-09-04 03:47:52.737343+00:00,77,25.0,ghana
Dublin,Light rain. Partly cloudy. Cool.,Fri 4:47 am,https://www.timeanddate.com/weather/ireland/dublin,2026-09-04 03:47:52.737343+00:00,57,13.9,ireland
Nairobi,Clear. Cool.,Fri 6:47 am,https://www.timeanddate.com/weather/kenya/nairobi,2026-09-04 03:47:52.737343+00:00,57,13.9,kenya
Addis Ababa,Passing clouds. Cool.,Fri 6:47 am,https://www.timeanddate.com/weather/ethiopia/addis-ababa,2026-09-04 03:47:52.737343+00:00,57,13.9,ethiopia
Edmonton,Passing clouds. Cool.,Thu 9:47 pm,https://www.timeanddate.com/weather/canada/edmonton,2026-09-04 03:47:52.737343+00:00,55,12.8,canada
Nassau,Scattered showers. Partly cloudy. Warm.,Thu 11:47 pm,https://www.timeanddate.com/weather/bahamas/nassau,2026-09-04 03:47:52.737343+00:00,81,27.2,bahamas
Adelaide,Cool.,Fri 1:17 pm,https://www.timeanddate.com/weather/australia/adelaide,2026-09-04 03:47:52.737343+00:00,60,15.6,australia
Frankfurt,Passing clouds. Mild.,Fri 5:47 am,https://www.timeanddate.com/weather/germany/frankfurt,2026-09-04 03:47:52.737343+00:00,66,18.9,germany
New Delhi,Fog. Warm.,Fri 9:17 am,https://www.timeanddate.com/weather/india/new-delhi,2026-09-04 03:47:52.737343+00:00,85,29.4,india
Algiers,Passing clouds. Warm.,Fri 4:47 am,https://www.timeanddate.com/weather/algeria/algiers,2026-09-04 03:47:52.737343+00:00,82,27.8,algeria
Guatemala City,Clear. Mild.,Thu 9:47 pm,https://www.timeanddate.com/weather/guatemala/guatemala,2026-09-04 03:47:52.737343+00:00,72,22.2,guatemala
New Orleans,Clear. Warm.,Thu 10:47 pm,https://www.timeanddate.com/weather/usa/new-orleans,2026-09-04 03:47:52.737343+00:00,84,28.9,usa
Almaty,Broken clouds. Mild.,Fri 8:47 am,https://www.timeanddate.com/weather/kazakstan/almaty,2026-09-04 03:47:52.737343+00:00,63,17.2,kazakstan
Halifax,Light rain. Mostly cloudy. Mild.,Fri 12:47 am,https://www.timeanddate.com/weather/canada/halifax,2026-09-04 03:47:52.737343+00:00,63,17.2,canada
New York,Clear. Warm.,Thu 11:47 pm,https://www.timeanddate.com/weather/usa/new-york,2026-09-04 03:47:52.737343+00:00,80,26.7,usa
Amman,Clear. Mild.,Fri 6:47 am,https://www.timeanddate.com/weather/jordan/amman,2026-09-04 03:47:52.737343+00:00,70,21.1,jordan
Hanoi,Passing clouds. Warm.,Fri 10:47 am,https://www.timeanddate.com/weather/vietnam/hanoi,2026-09-04 03:47:52.737343+00:00,88,31.1,vietnam
Oslo,Clear. Quite cool.,Fri 5:47 am,https://www.timeanddate.com/weather/norway/oslo,2026-09-04 03:47:52.737343+00:00,45,7.2,norway
Amsterdam,Passing clouds. Mild.,Fri 5:47 am,https://www.timeanddate.com/weather/netherlands/amsterdam,2026-09-04 03:47:52.737343+00:00,70,21.1,netherlands
Harare,Clear. Mild.,Fri 5:47 am,https://www.timeanddate.com/weather/zimbabwe/harare,2026-09-04 03:47:52.737343+00:00,63,17.2,zimbabwe
Ottawa,Passing clouds. Mild.,Thu 11:47 pm,https://www.timeanddate.com/weather/canada/ottawa,2026-09-04 03:47:52.737343+00:00,64,17.8,canada
Anadyr,Snow flurries. Overcast. Chilly.,Fri 3:47 pm,https://www.timeanddate.com/weather/russia/anadyr,2026-09-04 03:47:52.737343+00:00,33,0.6,russia
Havana,Passing clouds. Warm.,Thu 11:47 pm,https://www.timeanddate.com/weather/cuba/havana,2026-09-04 03:47:52.737343+00:00,79,26.1,cuba
