country,city_count,average_temperature_c,minimum_temperature_c,maximum_temperature_c
kuwait,1,34.4,34.4,34.4
united-arab-emirates,1,33.9,33.9,33.9
qatar,1,32.8,32.8,32.8
thailand,1,32.2,32.2,32.2
indonesia,1,31.7,31.7,31.7
iraq,1,31.7,31.7,31.7
malaysia,1,31.1,31.1,31.1
kiribati,1,31.1,31.1,31.1
singapore,1,31.1,31.1,31.1
vietnam,1,31.1,31.1,31.1
nicaragua,1,30.0,30.0,30.0
china,2,30.0,28.9,31.1
bangladesh,1,30.0,30.0,30.0
jamaica,1,29.4,29.4,29.4
south-korea,1,28.9,28.9,28.9
pakistan,3,28.333333333333332,25.0,32.2
puerto-rico,1,28.3,28.3,28.3
dominican-republic,1,28.3,28.3,28.3
hong-kong,1,27.8,27.8,27.8
algeria,1,27.8,27.8,27.8
myanmar,1,27.8,27.8,27.8
venezuela,1,27.8,27.8,27.8
india,4,27.775,22.8,30.0
greece,1,27.2,27.2,27.2
saudi-arabia,1,27.2,27.2,27.2
bahamas,1,27.2,27.2,27.2
cuba,1,26.1,26.1,26.1
philippines,1,26.1,26.1,26.1
taiwan,1,26.1,26.1,26.1
japan,1,26.1,26.1,26.1
portugal,1,26.1,26.1,26.1
usa,22,26.00909090909091,15.6,35.0
nigeria,1,25.0,25.0,25.0
ghana,1,25.0,25.0,25.0
el-salvador,1,25.0,25.0,25.0
egypt,1,25.0,25.0,25.0
lebanon,1,25.0,25.0,25.0
fiji,1,24.4,24.4,24.4
honduras,1,23.9,23.9,23.9
morocco,1,23.9,23.9,23.9
congo-demrep,1,23.9,23.9,23.9
spain,2,23.05,21.1,25.0
iran,1,22.8,22.8,22.8
nepal,1,22.8,22.8,22.8
italy,1,22.8,22.8,22.8
paraguay,1,22.8,22.8,22.8
guatemala,1,22.2,22.2,22.2
australia,7,21.75714285714286,15.0,31.7
peru,1,21.7,21.7,21.7
brazil,3,21.46666666666667,20.0,22.2
netherlands,1,21.1,21.1,21.1
jordan,1,21.1,21.1,21.1
belgium,1,20.0,20.0,20.0
uk,1,20.0,20.0,20.0
tanzania,1,20.0,20.0,20.0
croatia,1,20.0,20.0,20.0
austria,1,20.0,20.0,20.0
israel,1,19.4,19.4,19.4
uzbekistan,1,18.9,18.9,18.9
serbia,1,18.9,18.9,18.9
turkey,2,18.6,15.0,22.2
germany,2,18.35,17.8,18.9
france,1,17.8,17.8,17.8
romania,1,17.8,17.8,17.8
czech-republic,1,17.2,17.2,17.2
new-zealand,1,17.2,17.2,17.2
kazakstan,1,17.2,17.2,17.2
zimbabwe,1,17.2,17.2,17.2
mexico,1,17.2,17.2,17.2
canada,9,16.91111111111111,11.1,22.2
denmark,1,16.1,16.1,16.1
hungary,1,16.1,16.1,16.1
poland,1,16.1,16.1,16.1
south-africa,2,16.1,15.0,17.2
ukraine,1,15.0,15.0,15.0
switzerland,1,15.0,15.0,15.0
ethiopia,1,13.9,13.9,13.9
ireland,1,13.9,13.9,13.9
kenya,1,13.9,13.9,13.9
bulgaria,1,13.3,13.3,13.3
madagascar,1,12.8,12.8,12.8
argentina,1,12.8,12.8,12.8
chile,1,12.8,12.8,12.8
uruguay,1,12.2,12.2,12.2
colombia,1,11.1,11.1,11.1
estonia,1,11.1,11.1,11.1
iceland,1,10.0,10.0,10.0
belarus,1,8.9,8.9,8.9
russia,2,7.25,0.6,13.9
norway,1,7.2,7.2,7.2
finland,1,6.1,6.1,6.1
sweden,1,6.1,6.1,6.1
bolivia,1,5.0,5.0,5.0
